# visible | band                    | dataset                 | pol   | sampleModel | scalingOffset | scalingFactor | typicaMin | typicalMax | cyclic | fillValue | validExpr | unit      | decription                                                                                                                                | flagCoding    | flags
# Diff_TBs_Type                                                                                                                                            *
  *       | Param3_sigma_M3         | Param3_sigma_M3         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param3_sigma_M3                                                                                        | *             | *
  *       | Param4_M3               | Param4_M3               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param4_M3                                                                                              | *             | *
  *       | Param4_sigma_M3         | Param4_sigma_M3         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param4_sigma_M3                                                                                        | *             | *
  *       | Param5_M3               | Param5_M3               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param5_M3                                                                                              | *             | *
  *       | Param5_sigma_M3         | Param5_sigma_M3         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param5_sigma_M3                                                                                        | *             | *
  *       | Param6_M3               | Param6_M3               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param6_M3                                                                                              | *             | *
  *       | Param6_sigma_M3         | Param6_sigma_M3         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param6_sigma_M3                                                                                        | *             | *
  *       | Param7_M3               | Param7_M3               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param7_M3                                                                                              | *             | *
  *       | Param7_sigma_M3         | Param7_sigma_M3         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param7_sigma_M3                                                                                        | *             | *
  *       | Param1_M4               | Param1_M4               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param1_M4                                                                                              | *             | *
  *       | Param1_sigma_M4         | Param1_sigma_M4         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param1_sigma_M4                                                                                        | *             | *
  *       | Param2_M4               | Param2_M4               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param2_M4                                                                                              | *             | *
  *       | Param2_sigma_M4         | Param2_sigma_M4         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param2_sigma_M4                                                                                        | *             | *
  *       | Param3_M4               | Param3_M4               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param3_M4                                                                                              | *             | *
  *       | Param3_sigma_M4         | Param3_sigma_M4         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param3_sigma_M4                                                                                        | *             | *
