# visible | band                        | dataset                     | pol   | sampleModel | scalingOffset | scalingFactor       | typicaMin | typicalMax | cyclic | fillValue | validExpr | unit      | description                                                     | flagCoding        | flags
# Other_Data_Type
  *       | Mean_FM0_FNO                | Mean_FM0_FNO                | *     | *           | *             | 0.0015259021896696422 | 0.0     | 100.0      | *      | 0         | *         | %         | Mean_FM0_FNO             | *                 | *
  *       | Mean_FM0_FFO                | Mean_FM0_FFO                | *     | *           | *             | 0.0015259021896696422 | 0.0     | 100.0      | *      | 0         | *         | %         | Mean_FM0_FFO             | *                 | *
  *       | Mean_FM0_FWL                | Mean_FM0_FWL                | *     | *           | *             | 0.0015259021896696422 | 0.0     | 100.0      | *      | 0         | *         | %         | Mean_FM0_FWL             | *                 | *
  *       | Mean_FM0_FWO                | Mean_FM0_FWO                | *     | *           | *             | 0.0015259021896696422 | 0.0     | 100.0      | *      | 0         | *         | %         | Mean_FM0_FWO             | *                 | *
  *       | Mean_FM0_FEB                | Mean_FM0_FEB                | *     | *           | *             | 0.0015259021896696422 | 0.0     | 100.0      | *      | 0         | *         | %         | Mean_FM0_FEB             | *                 | *
  *       | Mean_FM0_FTI                | Mean_FM0_FTI                | *     | *           | *             | 0.0015259021896696422 | 0.0     | 100.0      | *      | 0         | *         | %         | Mean_FM0_FTI             | *                 | *
  *       | Mean_FM0_FEU                | Mean_FM0_FEU                | *     | *           | *             | 0.0015259021896696422 | 0.0     | 100.0      | *      | 0         | *         | %         | Mean_FM0_FEU             | *                 | *
  *       | Mean_FM0_FTS                | Mean_FM0_FTS                | *     | *           | *             | 0.0015259021896696422 | 0.0     | 100.0      | *      | 0         | *         | %         | Mean_FM0_FTS             | *                 | *
  *       | Mean_FM0_FTM                | Mean_FM0_FTM                | *     | *           | *             | 0.0015259021896696422 | 0.0     | 100.0      | *      | 0         | *         | %         | Mean_FM0_FTM             | *                 | *
  *       | Mean_FM0_FRZ                | Mean_FM0_FRZ                | *     | *           | *             | 0.0015259021896696422 | 0.0     | 100.0      | *      | 0         | *         | %         | Mean_FM0_FRZ             | *                 | *
  *       | Mean_FM0_FSM                | Mean_FM0_FSM                | *     | *           | *             | 0.0015259021896696422 | 0.0     | 100.0      | *      | 0         | *         | %         | Mean_FM0_FSM             | *                 | *
  *       | Mean_FM0_FSW                | Mean_FM0_FSW                | *     | *           | *             | 0.0015259021896696422 | 0.0     | 100.0      | *      | 0         | *         | %         | Mean_FM0_FSW             | *                 | *
  *       | Mean_FM_FNO                 | Mean_FM_FNO                 | *     | *           | *             | 0.0015259021896696422 | 0.0     | 100.0      | *      | 0         | *         | %         | Mean_FM_FNO              | *                 | *
  *       | Mean_FM_FFO                 | Mean_FM_FFO                 | *     | *           | *             | 0.0015259021896696422 | 0.0     | 100.0      | *      | 0         | *         | %         | Mean_FM_FFO              | *                 | *
  *       | Mean_FM_FWL                 | Mean_FM_FWL                 | *     | *           | *             | 0.0015259021896696422 | 0.0     | 100.0      | *      | 0         | *         | %         | Mean_FM_FWL              | *                 | *
  *       | Mean_FM_FWP                 | Mean_FM_FWP                 | *     | *           | *             | 0.0015259021896696422 | 0.0     | 100.0      | *      | 0         | *         | %         | Mean_FM_FWP              | *                 | *
  *       | Mean_FM_FWS                 | Mean_FM_FWS                 | *     | *           | *             | 0.0015259021896696422 | 0.0     | 100.0      | *      | 0         | *         | %         | Mean_FM_FWS              | *                 | *
  *       | Mean_FM_FEB                 | Mean_FM_FEB                 | *     | *           | *             | 0.0015259021896696422 | 0.0     | 100.0      | *      | 0         | *         | %         | Mean_FM_FEB              | *                 | *
  *       | Mean_FM_FTI                 | Mean_FM_FTI                 | *     | *           | *             | 0.0015259021896696422 | 0.0     | 100.0      | *      | 0         | *         | %         | Mean_FM_FTI              | *                 | *
  *       | Mean_FM_FRZ                 | Mean_FM_FRZ                 | *     | *           | *             | 0.0015259021896696422 | 0.0     | 100.0      | *      | 0         | *         | %         | Mean_FM_FRZ              | *                 | *
  *       | Mean_FM_FSN                 | Mean_FM_FSN                 | *     | *           | *             | 0.0015259021896696422 | 0.0     | 100.0      | *      | 0         | *         | %         | Mean_FM_FSN              | *                 | *
  *       | Mean_FM_FEU                 | Mean_FM_FEU                 | *     | *           | *             | 0.0015259021896696422 | 0.0     | 100.0      | *      | 0         | *         | %         | Mean_FM_FEU              | *                 | *
# Cover_Fractions_Data_Type
  *       | Cover_Frac_FM_FNO           | Cover_Frac_FM_FNO           | *     | *           | *             | 0.0015259021896696422 | 0.0     | 100.0      | *      | 0         | *         | %         | Cover_Frac_FM_FNO        | *                 | *
  *       | Cover_Frac_FM_FFO           | Cover_Frac_FM_FFO           | *     | *           | *             | 0.0015259021896696422 | 0.0     | 100.0      | *      | 0         | *         | %         | Cover_Frac_FM_FFO        | *                 | *
  *       | Cover_Frac_FM_FWL           | Cover_Frac_FM_FWL           | *     | *           | *             | 0.0015259021896696422 | 0.0     | 100.0      | *      | 0         | *         | %         | Cover_Frac_FM_FWL        | *                 | *
  *       | Cover_Frac_FM_FWP           | Cover_Frac_FM_FWP           | *     | *           | *             | 0.0015259021896696422 | 0.0     | 100.0      | *      | 0         | *         | %         | Cover_Frac_FM_FWP        | *                 | *
  *       | Cover_Frac_FM_FWS           | Cover_Frac_FM_FWS           | *     | *           | *             | 0.0015259021896696422 | 0.0     | 100.0      | *      | 0         | *         | %         | Cover_Frac_FM_FWS        | *                 | *
  *       | Cover_Frac_FM_FEB           | Cover_Frac_FM_FEB           | *     | *           | *             | 0.0015259021896696422 | 0.0     | 100.0      | *      | 0         | *         | %         | Cover_Frac_FM_FEB        | *                 | *
  *       | Cover_Frac_FM_FTI           | Cover_Frac_FM_FTI           | *     | *           | *             | 0.0015259021896696422 | 0.0     | 100.0      | *      | 0         | *         | %         | Cover_Frac_FM_FTI        | *                 | *
  *       | Cover_Frac_FM_FRZ           | Cover_Frac_FM_FRZ           | *     | *           | *             | 0.0015259021896696422 | 0.0     | 100.0      | *      | 0         | *         | %         | Cover_Frac_FM_FRZ        | *                 | *
  *       | Cover_Frac_FM_FSN           | Cover_Frac_FM_FSN           | *     | *           | *             | 0.0015259021896696422 | 0.0     | 100.0      | *      | 0         | *         | %         | Cover_Frac_FM_FSN        | *                 | *
  *       | Cover_Frac_FM_FEU           | Cover_Frac_FM_FEU           | *     | *           | *             | 0.0015259021896696422 | 0.0     | 100.0      | *      | 0         | *         | %         | Cover_Frac_FM_FEU        | *                 | *
# other
  *       | Grid_Point_ID               | Grid_Point_ID               | *     | *           | *             | *                   | 1         | 9262145    | *      | 0         | *         | *         | Grid point ID            | *                 | *
  *       | Latitude                    | Latitude                    | *     | *           | *             | *                   | -90.0     | 90.0       | *      | -999.0    | *         | deg       | Latitude (-90, 90)       | *                 | *
  *       | Longitude                   | Longitude                   | *     | *           | *             | *                   | -180.0    | 180.0      | true   | -999.0    | *         | deg       | Longitude (-180, 180)    | *                 | *
  *       | Altitude                    | Altitude                    | *     | *           | *             | *                   | -12000.0  | 9000.0     | *      | -99999.0  | *         | m         | Altitude (-12000, 9000)  | *                 | *
  *       | DAP_Flags                   | DAP_Flags                   | *     | *           | *             | *                   | *         | *          | *      | *         | *         | *         | DAP_Flags                | DAP_Flags         | DBL_SM_XXXX_MIR_SMDAP2_0002_dap_flags
