# visible | band                         | dataset                      | pol   | sampleModel | scalingOffset | scalingFactor | typicaMin | typicalMax | cyclic | fillValue | validExpr                                  | unit      | decription                                                                                                                               | flagCoding | flags
  *       | LAI                          | LAI                          | *     | *           | *             | *             | 0.0       | 20.0       | *      | 0.0       | *                                          | *         | Leaf area index used in computing vegetation cover optical opacity and contributions to the up- welling brightness temperature (0, 25.5) | *          | *
  *       | Days_Since_Last_MODIS_Update | Days_Since_Last_MODIS_Update | *     | *           | *             | *             | 0.0       | 1825.0     | *      | 0.0       | *                                          | *         | Number of days since a valid MODIS LAI value	element	value was available for this grid point                                             | *          | *
  *       | Flags                        | Flags                        | *     | *           | *             | *             | 0         | 7          | *      | 0.0       | *                                          | *         | Flags to keep track of data quality issues                                                                                               | Flags      | DBL_SM_XXXX_AUX_DFFLAI_0200_flags
