# bandName | memberName                             | sampleModel | dataType | scalingOffset | scalingFactor | typicaMin | typicalMax | noData    | validExpr | unit      | decription                                                                                                                 | flagsDefinitionFile
  SWVL2    | Volumetric_Soil_Water_L2               | *           | *        | *             | *             | 0.0       | 0.5        | -999999.0 | *         | *         | Volumetric soil water layer 2 (m3 m-3)                                                                                     | *
  SRC      | Skin_Reservoir_Content                 | *           | *        | *             | *             | 0.0       | 0.015      | -999999.0 | *         | m         | Skin reservoir content (water) (m)                                                                                         | *
  STL1     | Soil_Temperature_L1                    | *           | *        | *             | *             | 200.0     | 335.0      | -999999.0 | *         | K         | Soil temperature level 1 (K)                                                                                               | *
  STL2     | Soil_Temperature_L2                    | *           | *        | *             | *             | 200.0     | 335.0      | -999999.0 | *         | K         | Soil temperature level 2 (K)                                                                                               | *
  STL3     | Soil_Temperature_L3                    | *           | *        | *             | *             | 200.0     | 335.0      | -999999.0 | *         | K         | Soil temperature level 3 (K)                                                                                               | *
  STL4     | Soil_Temperature_L4                    | *           | *        | *             | *             | 200.0     | 335.0      | -999999.0 | *         | K         | Soil temperature level 4 (K)                                                                                               | *
  SKT      | Skin_Temperature                       | *           | *        | *             | *             | 200.0     | 335.0      | -999999.0 | *         | K         | Skin temperature (K)                                                                                                       | *
  TSN      | Temperature_Snow_Layer                 | *           | *        | *             | *             | 200.0     | 298.0      | -999999.0 | *         | K         | Temperature of snow layer (K)                                                                                              | *
  ISTL1    | Ice_Surface_Temperature                | *           | *        | *             | *             | 233.0     | 273.15     | -999999.0 | *         | K         | Ice surface temperature layer 1 (K)                                                                                        | *
  SD       | Snow_Depth                             | *           | *        | *             | *             | 0.0       | 10.0       | -999999.0 | *         | m         | Snow depth (meter of water equivalent) (m)                                                                                 | *
  SMLT     | Accumutated_Water                      | *           | *        | *             | *             | 0.0       | 0.03       | -999999.0 | *         | m         | Snow melt: meter of water (accumulated) (m)                                                                                | *
  RSN      | Snow_Density                           | *           | *        | *             | *             | 100.0     | 300.0      | -999999.0 | *         | kg m-3    | Snow density (kg/m3)                                                                                                       | *
